ID,Profit99,Online99,Age99,Inc99,Tenure99,Profit00,Online00,condition
1,-28,0,4,9,14.66,71,1,1
2,-6,0,3,4,4.75,-22,1,1
3,-36,0,3,6,7.66,82,1,1
4,-213,0,4,6,11.66,-143,1,1
5,83,0,2,5,5.16,408,1,1
6,-5,0,3,8,1.5,9,1,1
7,-6,0,4,1,5.5,236,1,1
8,218,0,2,4,9.41,8,1,1
9,32,0,4,6,9.25,268,1,1
10,639,0,4,9,15.41,221,1,1
11,642,0,2,6,5.16,379,1,1
12,-3,0,2,2,7.25,80,1,1
13,-127,0,4,9,24.75,-282,1,1
14,135,0,4,6,6.58,1337,1,1
15,551,0,4,9,5.16,229,1,1
16,686,0,4,9,2.41,847,1,1
17,-95,0,2,4,4.91,-141,1,1
18,48,0,4,4,8.16,-7,1,1
19,8,0,2,7,5.91,115,1,1
20,-148,0,6,8,11.5,-133,1,1
21,-28,0,4,7,7.91,-56,1,1
22,273,0,6,7,6.91,186,1,1
23,-93,0,1,1,15.83,-46,1,1
24,331,0,7,9,12.08,198,1,1
25,83,0,4,9,6.33,-3,1,1
26,281,0,4,9,18.91,355,1,1
27,-32,0,4,3,7.33,-51,1,1
28,1016,0,3,7,15.5,726,1,1
29,14,0,3,3,17.08,-2,1,1
30,-21,0,3,5,2.41,-87,1,1
31,-5,0,4,7,3.5,-61,1,1
32,302,0,4,6,28.41,175,1,1
33,-53,0,6,6,2.91,17,1,1
34,465,0,3,8,12.58,810,1,1
35,617,0,5,9,26.75,273,1,1
36,3,0,4,7,26.33,-40,1,1
37,174,0,5,4,1.25,279,1,1
38,-15,0,2,6,8.16,11,1,1
39,294,0,3,4,14.16,316,1,1
40,-34,0,3,3,6,-21,1,1
41,39,0,4,6,0.41,40,1,1
42,68,0,3,5,3.75,83,1,1
43,-24,0,4,7,3.5,90,1,1
44,-5,0,2,9,5.83,128,1,1
45,-13,0,2,6,2.5,-15,1,1
46,-14,0,4,6,7.41,61,1,1
47,-72,0,4,7,16,-72,1,1
48,64,0,3,1,1.25,368,1,1
49,19,0,3,7,24.16,35,1,1
50,417,0,5,7,27.66,310,1,1
51,-7,0,6,3,5.5,203,1,1
52,336,0,3,7,4.25,526,1,1
53,603,0,2,6,9.83,364,1,1
54,1037,0,3,7,10.16,986,1,1
55,34,0,4,9,15.33,-56,1,1
56,-53,0,4,6,17,-26,1,1
57,-37,0,7,7,13.75,-98,1,1
58,36,0,3,7,10.41,10,1,1
59,-94,0,2,6,5.75,-45,1,1
60,571,0,2,6,5.58,446,1,1
61,-48,0,3,7,13.91,-183,1,1
62,-94,0,3,5,15.75,-108,1,1
63,-142,0,4,6,16.16,-126,1,1
64,425,0,3,7,9.5,544,1,1
65,-21,0,1,4,4.41,26,1,1
66,119,0,2,7,6.41,-9,1,1
67,-24,0,4,7,3.41,-4,1,1
68,24,0,4,7,2.25,54,1,1
69,-31,0,4,7,8.5,-45,1,1
70,550,0,4,3,5.16,378,1,1
71,-3,0,2,7,12.41,430,1,1
72,138,0,4,9,12.5,239,1,1
73,161,0,4,8,6.5,65,1,1
74,504,0,2,7,8.25,897,1,1
75,222,0,2,7,1.58,158,1,1
76,298,0,5,9,13.5,179,1,1
77,-32,0,3,9,9.41,-7,1,1
78,-34,0,2,2,5.33,-29,1,1
79,-68,0,3,7,8.5,6,1,1
80,187,0,2,7,7.41,186,1,1
81,491,0,4,3,21.33,272,1,1
82,105,0,4,9,6.66,176,1,1
83,-83,0,2,6,6.66,-66,1,1
84,-11,0,3,9,8.58,-11,1,1
85,42,0,2,1,5.75,188,1,1
86,-176,0,7,9,9.25,-133,1,1
87,-30,0,3,4,0.83,-98,1,1
88,257,0,7,5,26.83,297,1,1
89,-37,0,4,7,5.08,-55,1,1
90,354,0,3,6,14.5,385,1,1
91,18,0,7,1,16.08,3,1,1
92,253,0,3,7,1.83,148,1,1
93,91,0,4,9,29.58,61,1,1
94,376,0,7,4,27.41,433,1,1
95,-124,0,4,6,5.66,-129,1,1
96,-110,0,3,3,3.41,-99,1,1
97,49,0,3,9,15.58,-4,1,1
98,12,0,6,4,1.41,28,1,1
99,94,0,2,7,3.41,-47,1,1
100,-61,0,2,5,3.33,7,1,1
101,-6,0,4,9,11.91,-24,1,1
102,33,0,2,4,1.66,314,1,1
103,26,0,3,8,8.5,16,1,1
104,8,0,2,3,1.41,107,1,1
105,-30,0,4,6,29.25,5,1,1
106,468,0,2,6,1.66,221,1,1
107,-95,0,5,6,4.75,-104,1,1
108,-4,0,4,5,4.33,-60,1,1
109,107,0,5,5,23.33,232,1,1
110,-17,0,2,3,1.41,22,1,1
111,-67,0,4,6,20.25,-60,1,1
112,145,0,5,6,13.5,41,1,1
113,37,0,2,6,7.33,25,1,1
114,122,0,4,7,6.08,190,1,1
115,38,0,2,4,9.83,33,1,1
116,1235,0,6,7,5.66,832,1,1
117,-49,0,3,5,28.58,846,1,1
118,89,0,1,1,4.41,-19,1,1
119,87,0,4,6,13.33,439,1,1
120,-1,0,3,4,4.91,6,1,1
121,68,0,3,7,9.5,85,1,1
122,166,0,5,9,27,244,1,1
123,-14,0,4,4,3.91,66,1,1
124,50,0,5,4,3.08,69,1,1
125,-27,0,3,3,3,-49,1,1
126,-53,0,4,7,27,537,1,1
127,211,0,7,3,14.5,299,1,1
128,35,0,3,6,10.33,74,1,1
129,44,0,4,6,7.58,356,1,1
130,-57,0,3,8,0.41,614,1,1
131,229,0,3,7,2.41,99,1,1
132,1499,0,3,9,2.66,2815,1,1
133,-5,0,2,7,0.91,-1,1,1
134,158,0,6,8,16.83,181,1,1
135,267,0,4,7,27.66,242,1,1
136,-72,0,2,6,5.5,-78,1,1
137,355,0,2,6,4.83,31,1,1
138,80,0,2,6,4.16,38,1,1
139,726,0,3,6,7.91,628,1,1
140,-62,0,4,9,9.5,-154,1,1
141,163,0,2,6,6.75,176,1,1
142,-5,0,5,4,6.33,12,1,1
143,-112,0,5,1,31.33,164,1,1
144,24,0,6,6,2.75,216,1,1
145,-5,0,6,6,30.08,-26,1,1
146,-3,0,7,6,10.08,14,1,1
147,-183,0,2,3,5.08,-98,1,1
148,-116,0,5,5,4.33,-114,1,1
149,262,0,4,4,17.25,520,1,1
150,-83,0,3,3,8.5,-114,1,1
151,-154,0,2,8,13.58,-65,1,1
152,201,0,5,7,24.08,241,1,1
153,-23,0,3,6,3.91,26,1,1
154,-24,0,3,4,4.25,46,1,1
155,-25,0,2,1,2.33,-25,1,1
156,39,0,2,9,9.41,12,1,1
157,492,0,4,9,24.66,805,1,1
158,83,0,2,1,9.33,5,1,1
159,26,0,3,5,9,40,1,1
160,782,0,4,7,0.66,579,1,1
161,809,0,5,9,5.5,1011,1,1
162,704,0,3,9,7.58,364,1,1
163,-147,0,4,5,16.66,-48,1,1
164,84,0,5,6,25.66,-101,1,1
165,149,0,4,7,3.58,35,1,1
166,-31,0,2,1,0.25,-25,1,1
167,230,0,4,6,0.58,229,1,1
168,184,0,5,9,15.75,19,1,1
169,-108,0,5,8,2.75,-101,1,1
170,293,0,3,9,7.41,155,1,1
171,170,0,3,6,12.33,-45,1,1
172,-64,0,3,6,8.08,-46,1,1
173,112,0,4,8,29.91,149,1,1
174,163,0,2,9,3.83,406,1,1
