ID,Profit99,Online99,Age99,Inc99,Tenure99
1,-82,0,5,5,5.41
2,164,0,4,6,26
3,-85,0,4,8,31.83
4,320,0,4,1,2.58
5,-55,0,5,6,3.66
6,39,0,3,7,8.75
7,-61,0,2,6,1.08
8,34,0,7,4,10.08
9,265,0,5,8,14.91
10,-204,0,5,9,9
11,106,0,4,4,20.83
12,226,0,1,5,19.5
13,510,0,3,6,10.83
14,2,0,3,1,2.91
15,73,0,3,8,10.25
16,160,0,2,5,5.08
17,45,0,4,6,1.5
18,47,0,5,3,4.08
19,-46,0,3,3,3.5
20,365,0,4,6,4
21,231,0,3,6,3
22,825,0,4,5,15.33
23,-171,0,2,6,6.66
24,279,0,4,5,2.66
25,-16,0,2,4,11.75
26,85,0,7,7,13.66
27,-38,0,2,7,6.66
28,-45,0,2,8,7.5
29,23,0,3,9,3.58
30,55,0,2,7,2.75
31,20,0,5,8,1.66
32,-40,0,1,3,8.16
33,-32,0,4,7,3.91
34,70,0,2,8,11.66
35,20,0,3,6,3.66
36,231,0,3,6,14.66
37,-32,0,2,3,4.33
38,180,0,2,3,8.83
39,-124,0,3,1,19.66
40,-85,0,1,1,1.58
41,362,0,7,6,1.83
42,-36,0,3,7,12.66
43,-68,0,4,6,3.91
44,318,0,4,8,5.75
45,605,0,5,9,9.83
46,246,0,4,9,9.66
47,117,0,3,6,9.33
48,48,0,3,4,4.41
49,-95,0,3,7,14.58
50,13,0,2,6,2.91
51,-91,0,4,5,11.91
52,71,0,4,6,12.33
53,-26,0,2,9,13.66
54,-20,0,1,5,2.08
55,190,0,4,4,1.58
56,-112,0,2,6,3.83
57,75,0,3,5,6.08
58,310,0,5,6,6
59,-30,0,1,5,0.75
60,-13,0,2,7,5.58
61,55,0,2,2,7.5
62,-105,0,2,6,5.83
63,-143,0,4,6,13
64,44,0,3,9,2.33
65,756,0,3,5,11.75
66,320,0,5,3,7.5
67,-119,0,4,6,8
68,-12,0,3,8,1
69,1554,0,5,2,28
70,-91,0,5,7,19.5
71,-164,0,6,1,5.16
72,24,0,3,7,6.83
73,112,0,3,5,24.33
74,33,0,2,6,3
75,-32,0,4,3,7.25
76,45,0,3,9,13.33
77,15,0,3,4,13
78,-142,0,5,5,25.58
79,-13,0,2,1,0.91
80,943,0,7,6,23.41
81,-28,0,4,2,7.25
82,-86,0,4,7,9.41
83,-9,0,2,3,2.08
84,-14,0,7,6,31.66
85,-4,0,2,7,6.66
86,-121,0,2,3,5
87,-98,0,3,7,4.25
88,65,0,2,8,16.41
89,-85,0,3,6,6.08
90,160,0,4,9,3.33
91,606,0,5,5,25.75
92,-99,0,2,9,6.41
93,252,0,3,7,11.08
94,92,0,2,6,3.66
95,21,0,7,5,11.58
96,-50,0,4,6,24.58
97,446,0,4,9,14
98,1733,0,5,9,7.58
99,15,0,2,6,8.25
100,7,0,3,7,9.33
101,14,0,3,5,9.08
