ID,Profit99,Online99,Age99,Inc99,Tenure99
1,-6,0,6,3,29.5
2,-49,1,5,5,26.41
3,-61,0,2,9,9.91
4,-19,0,3,1,8.41
5,59,0,5,8,7.33
6,493,0,4,9,15.33
7,-158,0,6,8,4.33
8,395,0,6,3,13.5
9,-62,0,6,1,6.25
10,-124,0,7,6,17.41
11,-28,0,4,9,14.66
12,632,0,4,7,26.66
13,-135,1,3,8,9
14,-92,0,3,7,4.16
15,68,0,4,8,22.16
16,26,0,4,7,8.66
17,-6,0,3,4,4.75
18,698,0,4,6,18.91
19,-27,0,4,6,8.66
20,14,1,4,3,22.5
21,-18,0,6,7,8.41
22,-130,0,5,8,6.25
23,-71,0,7,3,14.08
24,291,0,4,6,29.5
25,-32,0,2,1,2.5
26,88,0,4,7,8.58
27,900,0,2,6,6.58
28,-95,1,4,4,20.41
29,88,1,4,7,17.91
30,-49,0,2,7,6.16
31,32,0,5,6,8.75
32,512,0,6,9,1.16
33,313,0,4,7,8.75
34,205,0,7,3,19.16
35,367,0,5,7,7.33
36,-48,1,2,6,6.58
37,97,0,5,3,29
38,316,0,6,6,22.41
39,-27,0,4,9,15.08
40,6,0,5,7,32.08
41,-13,0,3,6,6.91
42,-67,0,3,1,3.75
43,-34,0,4,6,2.83
44,277,0,7,3,15.08
45,16,1,5,8,6.75
46,703,1,4,9,10.25
47,-36,0,3,6,7.66
48,238,1,6,9,29.41
49,220,0,7,3,2.5
50,-213,0,4,6,11.66
51,-41,0,4,6,6.16
52,253,0,4,6,3.91
53,-29,0,1,1,6.41
54,-126,0,5,9,2.58
55,83,0,2,5,5.16
56,73,0,3,6,4.66
57,-5,0,3,8,1.5
58,380,0,3,7,7.08
59,-56,0,6,1,34.5
60,51,0,5,9,11.08
61,56,0,6,7,4.58
62,-90,1,2,7,3.75
63,-69,0,7,6,10.08
64,-131,1,6,6,6.5
65,-141,0,7,9,33.5
66,-48,0,4,6,10.25
67,-66,0,4,6,8.83
68,-6,0,4,1,5.5
69,318,0,4,9,21.41
70,768,0,4,4,10.66
71,19,0,2,4,7.5
72,208,0,3,6,6.75
73,-83,0,5,7,6.83
74,295,0,7,3,20.58
75,46,0,4,3,5.58
76,56,0,4,8,21.08
77,865,0,5,9,20.83
78,-29,0,3,1,4.16
79,218,0,2,4,9.41
80,-82,0,7,1,1.91
81,-134,0,3,1,3.75
82,-2,0,5,7,4.58
83,-3,0,3,2,6.41
84,-45,0,3,6,7.5
85,-191,1,2,7,4.41
86,66,0,5,6,6.75
87,396,0,6,7,41.16
88,53,0,1,2,13.91
89,96,0,3,6,2.75
90,-25,0,4,9,14.25
91,-27,1,3,3,1.91
92,301,0,4,7,17.5
93,475,0,7,4,37.41
94,121,0,4,4,22.25
95,32,0,4,6,9.25
96,-6,0,3,6,4.5
97,-54,0,4,6,4.08
98,-118,0,2,6,10.08
99,284,1,3,6,8.91
100,79,0,3,8,5.91
101,565,1,2,9,3.66
102,23,0,5,6,26.75
103,-60,0,3,7,5.91
104,439,0,6,3,25.83
105,167,0,6,6,30.08
106,-63,0,6,3,2.16
107,-25,0,6,6,5.41
108,78,0,4,6,7
109,459,0,2,5,4
110,16,0,3,7,7.08
111,263,0,7,6,14.33
112,-59,0,5,5,3.58
113,69,0,3,5,1
114,-25,0,3,8,4.25
115,639,0,4,9,15.41
116,896,0,3,6,13.58
117,642,0,2,6,5.16
118,-37,0,5,1,20.41
119,49,0,4,1,5.08
120,498,1,7,3,26.41
121,402,0,3,6,0.75
122,439,0,5,5,3.75
123,308,0,7,3,2.33
124,0,0,5,5,10.5
125,-19,1,3,7,1.41
126,92,0,2,7,10.08
127,14,0,4,5,21.41
128,177,0,7,2,8.91
129,14,0,2,9,5.08
130,-40,1,3,6,3.66
131,216,0,3,8,5
132,-37,0,2,6,6.58
133,33,0,3,1,2.41
134,-65,0,4,7,9.75
